Alas;Indo;Domain
Raden Subantaka anak dakhi khaje Matasari;Raden Subantaka anak dari rasa matasari;Story/narrative
penakit nisebabken khematik;penyakit di sebabkan  rematik;Story/narrative
khencane kalak dhi, memasangne ni bhagas bagunen untuk nangkihken lawe ndak pekek pompa;rencana orang itu,memasang di dalam bagunan untuk menaikkan air tidak menggunakan pompa;Story/narrative
let bekhune empat, asalne pepige negekhi akhi;ada istri nya empat, asal nya dari beberapa negeri ;Culture/Tourism
 senakh njadi lucu khut gembikhe, nakh inget kalak, tule;selalu jadi lucu dan gembira, kalo ingat orang, lagi;Story/narrative
cekhite ken hal kae pelin si bentuk geluh mu ;;Story/narrative
khencane ken kae si sikel kite tukokh;;Instructions
karena lot masalah;;Story/narrative
laus me kas wisata;;Instructions
malot mesatu;;Story/narrative
uwap lawe nangkih;;History
Males belajakh;;Story/narrative
jatuh cinta, bahagie;;Story/narrative
salam paham;;Story/narrative
parakh kidah;;Story/narrative
kune kasene biyakh e;;Story/narrative
menukhut ndu, kae hal macik si mu tekhjadi;;Story/narrative
gakhami kegiaten positif, atope bahan kesibuken sendikhi;;Instructions
gembikhe kas kalak khami;;Story/narrative
menukhutmu, kae pelin hal si bahan kandu bede diantakhe kalak lain;;Story/narrative
ketekhe mungkin,kune cakhemu keliling dunie;bagaimana mungkin, bagaimana caramu keliling dunia;Culture/Tourism
tahat Ate ;;Story/narrative
malet sesue ekhut pendapet ;;Story/narrative
jelasken wakhi si sempurna me kandu;;Story/narrative
pekerjaan telah selesai dilakukan;;Story/narrative
kalak lain;;Story/narrative
makaipe;;Story/narrative
menukhut ndu kune kabakh kekhine imbang mu sendah;menurut anda bagaimana kabar sahabat kita sekarang ;Story/narrative
sial;;Story/narrative
Alasene kakhene nangat medem;;Story/narrative
impien ku sendah nde imrohken khang tue ku;;Story/narrative
melalui sistem;;Story/narrative
kakhene khang tue nggo belin ken kite ;;Story/narrative
uwe;;Culture/Tourism
kakhene let hal lucu ni alami ne;;Story/narrative
laus me mpus, lajang me ketambe;;Culture/Tourism
malot kae pe;;Story/narrative
cakhene mesungguh sungguh belajakh ;;Instructions
laus lajang;pergi jalan jalan sambil main main jangan sibuk urusan orang;Story/narrative
bace buku;;Story/narrative
adat budaye Ne ;;Culture/Tourism
bantu kalak e tanya i kae si ni poluken;;Story/narrative
atoi be, bakhu pahami;;Instructions
nikahen sehakhusne Edi hakhus khesmi agama atope negakhe, ;nikahan seharus nya itu harus resmi agama atau negara;Story/narrative
