Alas;Indo;Domain;;History;Instructions;Culture/Tourism;Story/narrative;
Raden Subantaka anak dakhi khaje Matasari;Raden Subantaka anak dari rasa matasari;NULL;;501;762;557;356;2176
penakit nisebabken khematik;penyakit di sebabkan  rematik;NULL;;;;;;
khencane kalak dhi, memasangne ni bhagas bagunen untuk nangkihken lawe ndak pekek pompa;rencana orang itu,memasang di dalam bagunan untuk menaikkan air tidak menggunakan pompa;NULL;;;;;;
let bekhune empat, asalne pepige negekhi akhi;ada istri nya empat, asal nya dari beberapa negeri ;NULL;;;;;;
 senakh njadi lucu khut gembikhe, nakh inget kalak, tule;selalu jadi lucu dan gembira, kalo ingat orang, lagi;NULL;;;;;;
cekhite ken hal kae pelin si bentuk geluh mu ;;NULL;;;;;;
khencane ken kae si sikel kite tukokh;;NULL;;;;;;
karena lot masalah;;NULL;;;;;;
laus me kas wisata;;NULL;;;;;;
uwap lawe nangkih;;NULL;;;;;;
jatuh cinta, bahagie;;NULL;;;;;;
kune kasene biyakh e;;NULL;;;;;;
menukhut ndu, kae hal macik si mu tekhjadi;;NULL;;;;;;
gakhami kegiaten positif, atope bahan kesibuken sendikhi;;NULL;;;;;;
gembikhe kas kalak khami;;NULL;;;;;;
menukhutmu, kae pelin hal si bahan kandu bede diantakhe kalak lain;;NULL;;;;;;
ketekhe mungkin,kune cakhemu keliling dunie;bagaimana mungkin, bagaimana caramu keliling dunia;NULL;;;;;;
tahat Ate ;;NULL;;;;;;
malet sesue ekhut pendapet ;;NULL;;;;;;
aman ;;NULL;;;;;;
jelasken wakhi si sempurna me kandu;;NULL;;;;;;
pekerjaan telah selesai dilakukan;;NULL;;;;;;
menukhut ndu kune kabakh kekhine imbang mu sendah;menurutmu bagaimana kabar semua temanmu sekarang ;NULL;;;;;;
Alasene kakhene nangat medem;;NULL;;;;;;
impien ku sendah nde imrohken khang tue ku;;NULL;;;;;;
melalui sistem;;NULL;;;;;;
kakhene khang tue nggo belin ken kite ;;NULL;;;;;;
kakhene let hal lucu ni alami ne;;NULL;;;;;;
laus me mpus, lajang me ketambe;;NULL;;;;;;
cakhene mesungguh sungguh belajakh ;;NULL;;;;;;
adat budaye Ne ;;NULL;;;;;;
bantu kalak e tanya i kae si ni poluken;;NULL;;;;;;
atoi be, bakhu pahami;;NULL;;;;;;
nikahen sehakhusne Edi hakhus khesmi agama atope negakhe, ;nikahan seharus nya itu harus resmi agama atau negara;NULL;;;;;;
menukhutku pet tetawe Sade khut mecekhok sade;;NULL;;;;;;
hakhus Lot dasakh cinte ;;NULL;;;;;;
mangan kueh;;NULL;;;;;;
kakhene Jujukh ;;NULL;;;;;;
hal si paling menakhik minat ku Edi melelo bola;hal yang paling menarik minatku adalah bermain bola ;NULL;;;;;;
menukhutmu,kae pelin si hakhus nisiapken sebelum pensiun;;NULL;;;;;;
ulang pebual bagas khumah tangge;;NULL;;;;;;
menukhut kandu,kae pelin si nibutuhken sebelum pensiun;;NULL;;;;;;
Mase depan paling cekhah;;NULL;;;;;;
bahase alas;;NULL;;;;;;
