Prompt ID;Prompt;Hint;Response ID;Response
337; Kata yang digunakan untuk menyebut proses berakhirnya banjir. ;surut;2974;sukhut
339; Kata yang digunakan untuk menyebut sisa endapan banjir. ;endapan;2979;muke
1000;Kata umum yang digunakan untuk menyebut ganggang. ;ganggang laut;4771;Please leave the package by the door. Thanks! Address: Street, Apt, City, Country/Region, Province, Postal code
1000;Kata umum yang digunakan untuk menyebut ganggang. ;ganggang laut;4770;";lksajfl;sajd kjlhjklhfd kjlhdslkjf lkjdsalkh"
1505; Kata yang digunakan untuk menyebut lebih dari satu orang. ;penduduk;1441;khombongon kalak kute
1505; Kata yang digunakan untuk menyebut lebih dari satu orang. ;penduduk;1586;kute 
1509; Kata yang digunakan untuk menyebut seluruh umat manusia (sebagai satu kelompok). ;umat manusia (keseluruhannya);1612;umat manusie (kekhinne)
1509; Kata yang digunakan untuk menyebut seluruh umat manusia (sebagai satu kelompok). ;umat manusia (keseluruhannya);1489;jeme kekhine (selukhuhne)
1511; Kata yang menjelaskan ciri yang terdapat pada semua manusia. ;sifat dasar manusia;1269;baik, jahat,  ramah,  masih,  cinte,  setie,  peculas, pebual,  pekakhup, pebual, penyanyang, melulukh,  tahat ate
1511; Kata yang menjelaskan ciri yang terdapat pada semua manusia. ;sifat dasar manusia;1805;ikhi
1513; Kata yang menjelaskan ciri yang terdapat pada seorang manusia. ;perorangan;1274;sekalak sekalak
1513; Kata yang menjelaskan ciri yang terdapat pada seorang manusia. ;perorangan;1278;sekalak jeme
1516;Kata yang digunakan untuk menyebut tubuh//badan. ;tubuh//badan;1281;awe,  babah,  mate,  igung,  dagu,  tagi,  alis,  cuping, buk, dade,  pakhe,  tangan, kiding,  betis, jantung, lidah,  ipen,  kuduk,  indung kiding,  jakhi indung,  jakhi telunjuk,  jakhi tengah,  jakhi manis,  jakhi kidil, ate
1524; Kata yang menjelaskan sifat sesuatu yang berkaitan dengan tubuh manusia. ;jasmaniah;1801;pekhulahen
1525; Kata yang digunakan untuk menyebut sel tubuh. ;Sel;1684;kas penjakhe
1526; Kata yang digunakan untuk menyebut sel tubuh. ;kromosom;1809;khondap 
1527; Kata yang digunakan untuk menyebut sel tubuh. ;protoplasma;1487;protoplasma
1529; Apa saja bagian dari kepala. ;roman;1334;buk
1533; Apa saja bagian dari kepala. ;dagu;1772;dage gela ne
1534; Apa saja bagian dari kepala. ;pelipis;1533;gukhip
1538; Apa saja bagian dari wajah manusia. ;dahi;1735;mentagi
1538; Apa saja bagian dari wajah manusia. ;dahi;1587;takal
1540; Apa saja bagian dari wajah manusia. ;dagu;1766;kin
1540; Apa saja bagian dari wajah manusia. ;dagu;1350;isang
1541; Apa saja bagian dari wajah manusia. ;lekuk (di dagu);1509;leher
