prompt_id;prompt;response_id;user;response;data_type;check_responseid;check_user;check_response;check_type
70527;Raden Subantaka adalah anak Pangeran Martasari.;638;171;Raden Subantaka anak dakhi khaje Matasari;2;1296;205;Raden Subantaka anak dari rasa matasari;DAILY CHECK
70527;Raden Subantaka adalah anak Pangeran Martasari.;638;171;Raden Subantaka anak dakhi khaje Matasari;2;1310;204;raden subantaka anak dari raja matasari;DAILY CHECK
70527;Raden Subantaka adalah anak Pangeran Martasari.;638;171;Raden Subantaka anak dakhi khaje Matasari;2;1355;219;raden subantaka anak dari raja matasari;DAILY CHECK
70527;Raden Subantaka adalah anak Pangeran Martasari.;638;171;Raden Subantaka anak dakhi khaje Matasari;2;1396;214;raden subantaka anak dari raja matasari;DAILY CHECK
70527;Raden Subantaka adalah anak Pangeran Martasari.;638;171;Raden Subantaka anak dakhi khaje Matasari;2;1478;227;raden subantaka anak dari raja matasari;DAILY CHECK
70527;Raden Subantaka adalah anak Pangeran Martasari.;638;171;Raden Subantaka anak dakhi khaje Matasari;2;1492;245;Raden subantaka anak dari raja matasari;DAILY CHECK
70527;Raden Subantaka adalah anak Pangeran Martasari.;638;171;Raden Subantaka anak dakhi khaje Matasari;2;1541;242;Raden subantaka anak dari raja matasari;DAILY CHECK
70527;Raden Subantaka adalah anak Pangeran Martasari.;638;171;Raden Subantaka anak dakhi khaje Matasari;2;1603;202;raden subantaka ank dari raja matasari;DAILY CHECK
70527;Raden Subantaka adalah anak Pangeran Martasari.;638;171;Raden Subantaka anak dakhi khaje Matasari;2;1664;201;Raden Subantaka anak dakhi khaje Matasari;DAILY CHECK
70527;Raden Subantaka adalah anak Pangeran Martasari.;638;171;Raden Subantaka anak dakhi khaje Matasari;2;1692;249;Raden subantaka anak dari raja mate sakhi;DAILY CHECK
70527;Raden Subantaka adalah anak Pangeran Martasari.;638;171;Raden Subantaka anak dakhi khaje Matasari;2;1715;215;raden subantaka anak dari raja matasari;DAILY CHECK
70527;Raden Subantaka adalah anak Pangeran Martasari.;638;171;Raden Subantaka anak dakhi khaje Matasari;2;1762;206;Raden subantaka anak dari raja matasari;DAILY CHECK
70527;Raden Subantaka adalah anak Pangeran Martasari.;638;171;Raden Subantaka anak dakhi khaje Matasari;2;1825;209;raden subantaka anak dari raja matasari;DAILY CHECK
70534;Penyakit disebabkan oleh rematik.;662;171;penakit nisebabken khematik;2;1282;204;penyakit di sebabkan  rematik;DAILY CHECK
70534;Penyakit disebabkan oleh rematik.;662;171;penakit nisebabken khematik;2;1332;219;penyakit di sebabkan rematik;DAILY CHECK
70534;Penyakit disebabkan oleh rematik.;662;171;penakit nisebabken khematik;2;1386;214;penyakit di sebabkan rematik;DAILY CHECK
70534;Penyakit disebabkan oleh rematik.;662;171;penakit nisebabken khematik;2;1435;205;penyakit  disebabkan rematik ;DAILY CHECK
70534;Penyakit disebabkan oleh rematik.;662;171;penakit nisebabken khematik;2;1456;227;penyakit yang di sebabkan rematik;DAILY CHECK
70534;Penyakit disebabkan oleh rematik.;662;171;penakit nisebabken khematik;2;1532;242;penyakit di sebabkan rematik;DAILY CHECK
70534;Penyakit disebabkan oleh rematik.;662;171;penakit nisebabken khematik;2;1542;202;peyakit yang di sebap kan rematik ;DAILY CHECK
70534;Penyakit disebabkan oleh rematik.;662;171;penakit nisebabken khematik;2;1547;245;panyakit disebabkan rematik;DAILY CHECK
70534;Penyakit disebabkan oleh rematik.;662;171;penakit nisebabken khematik;2;1635;249;penyakit itu di sebabkan rematik;DAILY CHECK
70534;Penyakit disebabkan oleh rematik.;662;171;penakit nisebabken khematik;2;1667;201;penyakit yang di sebabkan oleh penyakit ;DAILY CHECK
70534;Penyakit disebabkan oleh rematik.;662;171;penakit nisebabken khematik;2;1714;215;penyakit disebabkan rematik;DAILY CHECK
70534;Penyakit disebabkan oleh rematik.;662;171;penakit nisebabken khematik;2;1757;206;penyakit disebebkan rematik;DAILY CHECK
70534;Penyakit disebabkan oleh rematik.;662;171;penakit nisebabken khematik;2;1827;209;penyakit disebabkan rematik;DAILY CHECK
