prompt_id;prompt;response_id;user_id;response;data_id;check_response_id;check_user_id;check_response;check_type
285931;Menurutmu bagaimana pernikahan seharusnya?;1466;201;nikahen sehakhusne Edi hakhus khesmi agama atope negakhe, ;3;10714;400;nikahan seharus nya itu harus resmi agama atau negara;dailyCheck
285941;Ceritakan keadaan kamu dalam beberapa tahun ke depan?;3672;214;suksek bagie malot kaepe si kukhang tel me misalne keadaenku di pige tahun kendatas;3;8911;458;sukses bahagia gada apapun yang kurang te ecek ecek nya keadaan ku berapa tahun ke atas;dailyCheck
285943;Mengapa kamu mendedikasikan waktumu untuk suatu hal?;7629;328;kae gat kao korbanken waktumu untuk sebuah hal?;3;8554;407;kenapa pulak kao korban kan waktu mu untuk satu hal ;dailyCheck
285944;Hal apa saja yang dapat menjadikna kamu seorang profesional di bidangmu?;3678;214;khajin belajakh tekuni edi mahanse aku jago ni bidangku;3;7775;319;rajin belajar dan tekun itu yang membuat saya jago dibidang saya ;dailyCheck
285945;Kontribusi apa saja yang dapat kamu tawarkan untuk lingkungan di seskitarmu?;3679;214;berbgai khut bermanfaat untuk khalak khe ide positif edi me si nemu kukheken ide untuk lingkungen ni kuteku;3;7886;334;berbagi bersama manfaat untuk orang itu ide positif itu yang bisa kita lakukan itu yang bisa kita terapkan di lingkungan keinginanku;dailyCheck
285950;Apa saja motivasi kamu dalam bekerja?;7632;328;motivasi ku bagas mebahan  kakhene aku nangat jadi kalak sukses ni bidang ku ni, dape pe aku mabahan aku nangat mebahan bagas sebuah tim untuk memajuken kas mebahan ku sokhte meningkatken pengalamenku;3;7786;319;motivasi di dalam bekerja, saya pingin kerja menjadi orang sukses di bidang ku dan dimana pun saya bekerja saya akan membuat tim utk memajukan kantor dan dapat meningkatkan pengalaman ;dailyCheck
285952;Apa saja hal yang menarik minat kamu?;1512;201;hal si paling menakhik minat ku Edi melelo bola;3;7857;334;hal yang paling menarik minatku adalah bermain bola ;dailyCheck
285953;Apa saja hal yang kamu harapkan dalam kehidupanmu?;7636;328;semoge aku sukses ni mase depan nemu jadi bagien kebangga'en khang'tue ku kelak pagi;3;8035;272;semoga saya sukses di masa depan bisa menjadi bagian kebanggaan orang tua ku di kemudian hari kelak;dailyCheck
285956;Menurutmu bagaimana kabar semua temanmu saat ini?;7649;328;mungkin sehat mungkin lebe go jadi alm;3;7881;334;bisa jadi sehat bisa jadi sudah meninggal;dailyCheck
285958;Apa saja hal yang ingin kamu lakukan dalam hidup ini?;7663;319;hal yang ingin kubahani ni Bagas geluhku,pebue ibadah,medoe tebeken Allah moge mbue khezeki ni bekheken side,nemu umroh tiap tahun,nemu nekolahken anak Kane anak2 jadi anak yg shaleh dan shaleha;3;7854;334;hal yang paling ingin ku kerjakan dalam hidup ini perbanyak ibadah berdoa kepada Allah semoga banyak rezeki di berikan olehnya agar bisa umrah tiap tahun bisa menyekolahkan anak anak jadi anak yang Sholeh Sholehah;dailyCheck
285959;Apa saja hal yang ingin kamu capai dalam hidup ini?;3837;214;jadi khalak soleh jadi khalak bayak begune me khalak si tekhe ulang jahat ulang jadi jemen laknat khut jeme si pepelin kumat nangat buah aku umrohken khabg tueku kane nemu laus me tanoh suci mekah al mukaramah ;3;7880;334;jadi orang yang sholeh jadi orang yang banyak berguna kepada orang yang tua jangan jahat jangan jadi orang yang lagi nanti setelah itu menjadi orang yang selalu kuman selalu ingin buah aku lupakan kedua orang tuaku supaya bisa pergi ke tanah;dailyCheck
285960;Apa yang kamu harapkan saat bangun tidur?;7657;328;semoge semangat jiwa mudaku pulih nemu bermanfaat untuk kalak lain;3;10590;399;semoga semangat jiwa mudaku untuk manfaat kepada orang lain;dailyCheck
285961;Mengapa anak-anak sangat menyukai film kartun?;7658;328;kakhne lucu, te malot lucu malet tonton kalak;3;8613;458;karna lucu, kalo gak lucu gak nonton orang;dailyCheck
