prompt_id;prompt;hint;response_id;user_id;response;check_response_id;check_user_id;check_response;check_type
286368;;di;1513;204;ni;1968;249;ni;dailyCheck
286372;;ini;1371;237;bunga;1989;249;bunga;dailyCheck
286373;;itu;1611;236;edi;2191;214;itu;dailyCheck
286374;;nya;1751;206;uwe;2070;209;iya;dailyCheck
286375;;anda;1659;231;kao;1979;249;kamu;dailyCheck
286376;;atau;1405;202;atope;1993;249;atau pun;dailyCheck
286379;;oleh;1444;210;dakhi;2218;214;jemput;dailyCheck
286381;;satu;1669;234;sadek;1988;249;satu;dailyCheck
286382;;saya;1379;237;saya;1990;249;saya;dailyCheck
286385;;untuk;1708;209;gune;2065;233;guna;dailyCheck
286386;;adalah;1769;205;Let lah;1871;169;ada sesuatu;dailyCheck
286387;;dengan;1624;205;dengan;1885;209;bersama;dailyCheck
286389;;menjadi;1399;202;jadhi;1967;249;jadi;dailyCheck
286391;;beberapa;1691;238;pige;1882;209;berapa;dailyCheck
286392;;memiliki;1791;209;milik;10439;412;empung;dailyCheck
286394;;end;1898;169;khut;2090;249;ikut;dailyCheck
286397;;baik;1917;209;mejile;2132;249;cantik;dailyCheck
286398;;bisa;1901;169;nemu;2122;249;bisa;dailyCheck
286399;;jika;1904;169;sengkikhene;2136;249;dikarenakan;dailyCheck
286401;;kami;1926;209;kami;2139;249;kami;dailyCheck
286403;;yang;1944;209;si;3452;171;yang;dailyCheck
286404;;ingin;1939;209;nangat;3686;169;ingin;dailyCheck
286405;;kecil;1940;209;cut;2100;249;kecil;dailyCheck
286406;;tidak;1954;209;malet;2125;249;tidak;dailyCheck
286407;;udara;1919;209;udakhe;2105;249;udahan;dailyCheck
286408;;waktu;1955;209;waktu;2121;249;waktu;dailyCheck
286409;;sebuah;2014;249;sade;2237;214;sendiri;dailyCheck
286410;;bermain;1953;209;bermain;2131;249;bermain;dailyCheck
286412;;Kumpulan;1929;209;kumpulen;2093;249;kumpulan;dailyCheck
286413;;bagaimana;1920;209;kune;2098;249;bagaimana;dailyCheck
286415;;memberitahu;1931;209;kabari;2112;249;kabari;dailyCheck
286416;;masing-masing;1924;209;sade-sade;2109;249;sendirian;dailyCheck
286418;;baca;2254;209;bace;2354;214;baca;dailyCheck
286420;;besar;2255;209;belin;2359;214;besar;dailyCheck
286434;;di sini;7340;287;ni hande;13438;525;di sini;dailyCheck
286435;;mengapa;7336;287;kenapa;12874;500;kenapa;dailyCheck
286436;;seperti;7341;287;bage;10525;472;kayak;dailyCheck
286460;;bagian;7416;288;bagien;7796;319;bagian ;dailyCheck
286461;;datang;7445;290;welcome;14510;362;selamat datang;
286462;;setiap;7402;288;jep;8229;334;tiap;dailyCheck
286463;;tempat;7391;288;kas;13790;413;tempat;dailyCheck
286465;;membuat;7388;288;mahani;15201;443;membuat;
286466;;putaran;7390;288;putekhen;10862;519;putaran;dailyCheck
286467;;sedikit;7394;288;sitok;7932;334;sedikit ;dailyCheck
286468;;setelah;7404;288;setelah;10498;438;setelah;dailyCheck
286469;;membangun;7415;288;membangun ;7896;334;membangun;dailyCheck
286476;;nama;2455;249;gelakh;2537;214;nama;dailyCheck
286481;;rendah;2460;249;khendah;2792;209;rendah;dailyCheck
286484;;berbeda;7485;289;mebede;8324;374;berbeda;dailyCheck
286486;;melalui;7992;334;melalui ;12771;481;melalui;checkData
286488;;terlalu;7491;289;lebih su;10505;438;lebih kali;checkData
286489;;bergerak;7983;334;mwgekhok;10418;412;bergerak;dailyCheck
286490;;berpikir;8033;272;mepikekh;13150;552;berpikir;dailyCheck
286491;;di bawah;8034;272;ni tekhuh;13232;477;di bawah;dailyCheck
286492;;formulir;8012;272;formulikh;12803;472;formulir;dailyCheck
286493;;membantu;7482;289;nempuhi;8200;334;membantu ;dailyCheck
286494;;penyebab;7479;289;sebabne;7929;334;sebabnya ;dailyCheck
286496;;memberikan;8008;272;mekheken;14309;560;memberi;
286497;;mengatakan;7470;289;kateken;8264;334;katakan ;dailyCheck
286498;;ada;2591;169;lhet;2671;249;lihat;dailyCheck
286499;;dua;2578;169;due;2663;249;dua;dailyCheck
286500;;hal;7466;289;maksud atau tujuen;12501;362;maksud atau tujuan;dailyCheck
286501;;cara;2622;249;cakhe;2739;202;cara;dailyCheck
286503;;jadi;2627;249;jadi;2749;202;jadi ;dailyCheck
286504;;naik;2596;169;nangkih;2709;249;naik;dailyCheck
286505;;lebih;8002;272;lebih;13859;494;lebih;
286506;;lihat;7469;289;ato;8060;334;lihat ;dailyCheck
286507;;semua;7473;289;kekhine;12831;560;semua;dailyCheck
286508;;ketika;7476;289;sebuah mase;13165;420;sebuah masa;checkData
286509;;melihat;7478;289;ngato;8770;458;lihat;dailyCheck
286510;;menulis;7480;289;sedang nulis;8187;334;sedang menulis ;dailyCheck
286511;;panjang;7483;289;enggedang;15059;443;panjang sekali rupanya ini;
286512;;tentang;7981;334;tentang ;10741;400;tentang apa yang harus kita lakukan terhadap lingkungan ;dailyCheck
286513;;kemudian;7980;334;pul edi;10311;436;setelah itu;dailyCheck
286516;;cari;8019;272;gakhami;13976;560;cariin;
286517;;sisi;8016;272;sisi;13155;429;sisi;checkData
286518;;tahu;2772;209;metoh;2864;249;tahu;dailyCheck
286519;;orang;2803;209;kalak;2867;249;orang;dailyCheck
286520;;suara;7971;334;suakhe;10410;414;suara;dailyCheck
